filter_hour_service-3  | 2025-12-04 02:51:36 DEBUG    Config cargada desde config/config_hour.ini: {'id': 3, 'filter_type': 'hour', 'hour_start': 6, 'hour_end': 23}
filter_hour_service-3   | 2025-12-04 02:51:36 INFO     Starting HeartbeatSender for filter_hour_service-3
filter_hour_service-3   | 2025-12-04 02:51:36 INFO     Filtro inicializado. Tipo: hour, ID: 3 | Receiver Queue: to_filter_hour_shard_3 | Sender Queues: ['to_filter_amount'] | End Exchange: end_exchange_filter_hour | Monitor: <utils.heartbeat_sender.HeartbeatSender object at 0x70ca562f1d60>
filter_hour_service-3   | 2025-12-04 02:51:36 INFO     Verificando recuperación de procesamiento previo
filter_hour_service-3   | 2025-12-04 02:51:36 INFO     Recovering sends commit...
filter_hour_service-3   | 2025-12-04 02:51:36 INFO     Recovering working state...
filter_hour_service-3   | 2025-12-04 02:51:36 DEBUG    No working state commit found.
filter_hour_service-3   | 2025-12-04 02:51:36 INFO     Recovering last chunks processing commit...
filter_hour_service-3   | 2025-12-04 02:51:36 DEBUG    No processing chunk commit found.
filter_hour_service-3   | 2025-12-04 02:51:36 DEBUG    No processing chunk to recover.
filter_hour_service-3   | 2025-12-04 02:51:36 INFO     Filtro iniciado. Tipo: hour, ID: 3
aggregator_tpv_service  | 2025-12-04 02:51:36 DEBUG    action: config | result: success | agg_type:TPV | agg_id:1 | log_level:DEBUG
aggregator_tpv_service  | 2025-12-04 02:51:36 INFO     Starting HeartbeatSender for aggregator_tpv_service
aggregator_tpv_service  | 2025-12-04 02:51:36 INFO     Recovering sends commit...
filter_hour_service     | 2025-12-04 02:51:36 DEBUG    Config cargada desde config/config_hour.ini: {'id': 1, 'filter_type': 'hour', 'hour_start': 6, 'hour_end': 23}
filter_hour_service     | 2025-12-04 02:51:36 INFO     Starting HeartbeatSender for filter_hour_service
filter_hour_service     | 2025-12-04 02:51:36 INFO     Filtro inicializado. Tipo: hour, ID: 1 | Receiver Queue: to_filter_hour_shard_1 | Sender Queues: ['to_filter_amount'] | End Exchange: end_exchange_filter_hour | Monitor: <utils.heartbeat_sender.HeartbeatSender object at 0x7fae596f9d60>
filter_hour_service-2   | 2025-12-04 02:51:36 DEBUG    Config cargada desde config/config_hour.ini: {'id': 2, 'filter_type': 'hour', 'hour_start': 6, 'hour_end': 23}
filter_hour_service-2   | 2025-12-04 02:51:36 INFO     Starting HeartbeatSender for filter_hour_service-2
